order_item_id,order_id,product_id,category,amount
I00000001,O0000001,P0006,家电,62
I00000002,O0000001,P0018,其他行业,40
I00000003,O0000002,P0009,家电,50
I00000004,O0000002,P0015,其他行业,52
I00000005,O0000003,P0005,家电,43
I00000006,O0000003,P0017,其他行业,55
I00000007,O0000004,P0012,家电,61
I00000008,O0000004,P0014,其他行业,34
I00000009,O0000005,P0012,家电,42
I00000010,O0000005,P0022,其他行业,28
I00000011,O0000006,P0006,家电,50
I00000012,O0000006,P0018,其他行业,32
I00000013,O0000007,P0012,家电,44
I00000014,O0000007,P0021,其他行业,55
I00000015,O0000008,P0002,家电,46
I00000016,O0000008,P0021,其他行业,38
I00000017,O0000009,P0005,家电,37
I00000018,O0000009,P0018,其他行业,38
I00000019,O0000010,P0005,家电,78
I00000020,O0000010,P0024,其他行业,51
I00000021,O0000011,P0005,家电,49
I00000022,O0000011,P0020,其他行业,69
I00000023,O0000012,P0011,家电,61
I00000024,O0000012,P0015,其他行业,45
I00000025,O0000013,P0010,家电,41
I00000026,O0000013,P0023,其他行业,47
I00000027,O0000014,P0008,家电,52
I00000028,O0000014,P0022,其他行业,31
I00000029,O0000015,P0006,家电,54
I00000030,O0000015,P0017,其他行业,61
I00000031,O0000016,P0002,家电,49
I00000032,O0000016,P0014,其他行业,64
I00000033,O0000017,P0007,家电,45
I00000034,O0000017,P0022,其他行业,25
I00000035,O0000018,P0002,家电,48
I00000036,O0000018,P0021,其他行业,37
I00000037,O0000019,P0009,家电,60
I00000038,O0000019,P0017,其他行业,61
I00000039,O0000020,P0010,家电,42
I00000040,O0000020,P0023,其他行业,60
I00000041,O0000021,P0011,家电,52
I00000042,O0000021,P0023,其他行业,59
I00000043,O0000022,P0006,家电,30
I00000044,O0000022,P0015,其他行业,40
I00000045,O0000023,P0011,家电,29
I00000046,O0000023,P0014,其他行业,42
I00000047,O0000024,P0008,家电,33
I00000048,O0000024,P0022,其他行业,46
I00000049,O0000025,P0003,家电,49
I00000050,O0000025,P0018,其他行业,60
I00000051,O0000026,P0010,家电,28
I00000052,O0000026,P0017,其他行业,46
I00000053,O0000027,P0012,家电,50
I00000054,O0000027,P0014,其他行业,58
I00000055,O0000028,P0010,家电,53
I00000056,O0000028,P0023,其他行业,54
I00000057,O0000029,P0005,家电,38
I00000058,O0000029,P0021,其他行业,56
I00000059,O0000030,P0011,家电,50
I00000060,O0000030,P0013,其他行业,34
I00000061,O0000031,P0012,家电,63
I00000062,O0000031,P0015,其他行业,54
I00000063,O0000032,P0007,家电,61
I00000064,O0000032,P0021,其他行业,69
I00000065,O0000033,P0008,家电,28
I00000066,O0000033,P0017,其他行业,45
I00000067,O0000034,P0002,家电,66
I00000068,O0000034,P0024,其他行业,51
I00000069,O0000035,P0006,家电,67
I00000070,O0000035,P0014,其他行业,60
I00000071,O0000036,P0004,家电,75
I00000072,O0000036,P0022,其他行业,41
I00000073,O0000037,P0001,家电,57
I00000074,O0000037,P0014,其他行业,48
